id,title,company,department,skills_required,description,location,remote,stipend_min_inr,stipend_max_inr,duration_weeks,url,date_posted,role_level,sector
1,Visual Design Intern,World Bank,Design / UX,Adobe XD;Illustrator;Wireframing;Prototyping;User Research;Sketch,"Visual Design Intern at World Bank. Work on projects, mentored by senior staff. Required skills: Adobe XD, Illustrator, Wireframing, Prototyping, User Research, Sketch.","New York, USA",False,25000,27000,4,https://careers.example.com/worldbank/1,2026-01-19,Junior,Private
2,Coaching Intern,INTACH,Sports / Coaching,Plan Design;Coaching;Fitness Training,"Coaching Intern at INTACH. Work on projects, mentored by senior staff. Required skills: Plan Design, Coaching, Fitness Training.","Thane, IN",False,20000,40000,6,https://careers.example.com/intach/2,2026-01-30,Internship,Academic
3,Curriculum Intern,Pratham,Education / Teaching,TAP (Teaching Assistant);Communication;Assessment Design;Recipe Development,"Curriculum Intern at Pratham. Work on projects, mentored by senior staff. Required skills: TAP (Teaching Assistant), Communication, Assessment Design, Recipe Development.","Thane, IN",False,25000,35000,6,https://careers.example.com/pratham/3,2025-05-21,Internship,Startup
4,Graphic Design Intern,Asian Development Bank,Design / UX,Illustrator;User Research;Wireframing;Sketch;Visual Design;Prototyping,"Graphic Design Intern at Asian Development Bank. Work on projects, mentored by senior staff. Required skills: Illustrator, User Research, Wireframing, Sketch, Visual Design, Prototyping.","New York, USA",False,30000,45000,4,https://careers.example.com/asiandevelopmentbank/4,2026-01-09,Entry,Academic
5,Policy Intern,DHL,Research / Policy,Policy Briefs;SPSS;Qualitative Methods;Stata;Literature Review;Quantitative Analysis,"Policy Intern at DHL. Work on projects, mentored by senior staff. Required skills: Policy Briefs, SPSS, Qualitative Methods, Stata, Literature Review, Quantitative Analysis.","London, UK",False,25000,45000,12,https://careers.example.com/dhl/5,2025-04-08,Junior,Academic
6,Case Worker Intern,Delhi University,NGO / Social Work,Fundraising;Monitoring & Evaluation;Case Management;Community Outreach;Grant Writing;Survey Design,"Case Worker Intern at Delhi University. Work on projects, mentored by senior staff. Required skills: Fundraising, Monitoring & Evaluation, Case Management, Community Outreach, Grant Writing, Survey Design.","Sydney, AU",False,25000,30000,10,https://careers.example.com/delhiuniversity/6,2025-07-11,Junior,Academic
7,Technical Documentation Intern,Biba,Aviation / Aerospace,Aircraft Systems;Maintenance Protocols;Flight Ops;Technical Documentation,"Technical Documentation Intern at Biba. Work on projects, mentored by senior staff. Required skills: Aircraft Systems, Maintenance Protocols, Flight Ops, Technical Documentation.","Pune, IN",False,25000,45000,12,https://careers.example.com/biba/7,2025-12-13,Junior,Startup
8,Full Stack Intern,WHO,Web Development,CSS;React;Express;MongoDB;Machine Learning,"Full Stack Intern at WHO. Work on projects, mentored by senior staff. Required skills: CSS, React, Express, MongoDB, Machine Learning.",Remote,True,25000,40000,6,https://careers.example.com/who/8,2025-05-08,Entry,Public
9,UI/UX Design Intern,Simplilearn,Design / UX,Wireframing;Prototyping;Visual Design;Sketch;Adobe XD;Figma,"UI/UX Design Intern at Simplilearn. Work on projects, mentored by senior staff. Required skills: Wireframing, Prototyping, Visual Design, Sketch, Adobe XD, Figma.","Berlin, DE",False,25000,45000,8,https://careers.example.com/simplilearn/9,2025-07-17,Internship,Public
10,Health Data Intern,Infosys,Public Health / Epidemiology,Data Analysis;Health Promotion;Field Surveys;Survey Design;Surveillance,"Health Data Intern at Infosys. Work on projects, mentored by senior staff. Required skills: Data Analysis, Health Promotion, Field Surveys, Survey Design, Surveillance.","Delhi NCR, IN",True,30000,32000,20,https://careers.example.com/infosys/10,2026-01-21,Junior,Private
